Durham|3546555290600660|154264.28
Reston|5100136063428650|143683.43
State College|3549330539665360|280284.02
Cleveland|4903202602943950|284354.82
Durham|5100137880997760|347167.79
Reston|5018738291643090000|263856.28
State College|379147242006742|129405.70
Fairfax|3568585770424450|218600.99
Fairfax|3547397996112920|198297.86
Tampa|337941061681531|282964.94
Stow|3584973233054510|440119.12
Fairfax|3534580429712710|280317.40
Reston|6761707270730700|353741.32
Tampa|372301096023652|129734.75
Reston|6709422233904210000|412119.54
Cinicinnati|3555844243079540|274214.01
Columbus|6709785218803580|395473.66
Fairfax|5610011425611590|215696.53
State College|3553366506525000|413338.20
Reston|3574445794148770|233711.98
Columbus|4041598095545030|434505.60
Durham|4405151290040260|119258.46
Stow|3545879365008250|271438.05
Reston|4508764477250380|182279.80
Cinicinnati|6396841025068670|344404.65
Tampa|5602212984231950|180425.31
Raleigh|201757504031032|268136.82
Cinicinnati|4026143660900310|291183.35
Columbus|5427858720087650|189355.38
Fairfax|5108758089115530|138301.74
State College|372301724049020|160979.67
Raleigh|4508381960405040|91039.96
Charlotte|3565779226197260|425136.55
Tampa|564182152513145000|211315.12
Cinicinnati|6304222844700840000|292260.84
Tampa|4041378998652|329397.47
Fairfax|372301217546581|419863.10
Charlotte|3588634807118860|391747.01
State College|3577788778499220|362262.45
Durham|3567652310206500|134355.65
Fairfax|3576363889362460|370978.13
Cleveland|5020468941005180000|193522.12
Stow|3556258114476180|328289.14
Cleveland|633110393032115000|305867.92
Tampa|3576083931409130|258577.32
Stow|3571575307113380|205053.04
Raleigh|5602240667438500|201813.84
Charlotte|3571394779553440|368402.31
Fairfax|374283704227198|446594.58
Charlotte|4844011660182300|417812.44
Durham|3564684616859870|140368.34
Columbus|4277687364828|81686.30
Charlotte|4041596320996720|222738.24
Raleigh|5602244633238430|152446.98
Fairfax|3574749637095080|305119.42
Stow|5401480989075120|298664.35
Reston|3588661852765680|403386.70
Cleveland|3581060743977100|353799.53
Cleveland|30151471726971|435154.89
Stow|4041594642110100|287434.80
Stow|56108092761546100|147030.64
Fairfax|5602211481351770|157143.77
